priority,kind,deck,id,fr,en,current,why,filename,prompt
1,LOW-RES,aliments,l-abricot.jpg,les abricots,,/devine/l-abricot.jpg,160x160 source shown at 132 CSS px — upscaled 1.6x-2.5x on any modern phone,l-abricot.jpg,"les abricots — the food itself, fresh, appetising, in a plain white bowl or on a plain plate where a container is needed. hyperrealistic 3D render, single subject centred and isolated, plain warm off-white background (#FBFBF6), soft studio key light from upper-left with a gentle fill, subtle contact shadow beneath, photoreal materials and micro-detail, no text, no labels, no watermark, square 1:1, 1024x1024"
1,LOW-RES,aliments,l-ail.jpg,l'ail,,/devine/l-ail.jpg,160x160 source shown at 132 CSS px — upscaled 1.6x-2.5x on any modern phone,l-ail.jpg,"l'ail — the food itself, fresh, appetising, in a plain white bowl or on a plain plate where a container is needed. hyperrealistic 3D render, single subject centred and isolated, plain warm off-white background (#FBFBF6), soft studio key light from upper-left with a gentle fill, subtle contact shadow beneath, photoreal materials and micro-detail, no text, no labels, no watermark, square 1:1, 1024x1024"
1,LOW-RES,aliments,l-ananas.jpg,l'ananas,,/devine/l-ananas.jpg,160x160 source shown at 132 CSS px — upscaled 1.6x-2.5x on any modern phone,l-ananas.jpg,"l'ananas — the food itself, fresh, appetising, in a plain white bowl or on a plain plate where a container is needed. hyperrealistic 3D render, single subject centred and isolated, plain warm off-white background (#FBFBF6), soft studio key light from upper-left with a gentle fill, subtle contact shadow beneath, photoreal materials and micro-detail, no text, no labels, no watermark, square 1:1, 1024x1024"
1,LOW-RES,aliments,l-avocat.jpg,l'avocat,,/devine/l-avocat.jpg,160x160 source shown at 132 CSS px — upscaled 1.6x-2.5x on any modern phone,l-avocat.jpg,"l'avocat — the food itself, fresh, appetising, in a plain white bowl or on a plain plate where a container is needed. hyperrealistic 3D render, single subject centred and isolated, plain warm off-white background (#FBFBF6), soft studio key light from upper-left with a gentle fill, subtle contact shadow beneath, photoreal materials and micro-detail, no text, no labels, no watermark, square 1:1, 1024x1024"
1,LOW-RES,aliments,l-eau.jpg,l'eau,,/devine/l-eau.jpg,160x160 source shown at 132 CSS px — upscaled 1.6x-2.5x on any modern phone,l-eau.jpg,"l'eau — the food itself, fresh, appetising, in a plain white bowl or on a plain plate where a container is needed. hyperrealistic 3D render, single subject centred and isolated, plain warm off-white background (#FBFBF6), soft studio key light from upper-left with a gentle fill, subtle contact shadow beneath, photoreal materials and micro-detail, no text, no labels, no watermark, square 1:1, 1024x1024"
1,LOW-RES,aliments,l-huile-d-olive.jpg,l'huile d'olive,,/devine/l-huile-d-olive.jpg,160x160 source shown at 132 CSS px — upscaled 1.6x-2.5x on any modern phone,l-huile-d-olive.jpg,"l'huile d'olive — the food itself, fresh, appetising, in a plain white bowl or on a plain plate where a container is needed. hyperrealistic 3D render, single subject centred and isolated, plain warm off-white background (#FBFBF6), soft studio key light from upper-left with a gentle fill, subtle contact shadow beneath, photoreal materials and micro-detail, no text, no labels, no watermark, square 1:1, 1024x1024"
1,LOW-RES,aliments,l-orange.jpg,l'orange,,/devine/l-orange.jpg,160x160 source shown at 132 CSS px — upscaled 1.6x-2.5x on any modern phone,l-orange.jpg,"l'orange — the food itself, fresh, appetising, in a plain white bowl or on a plain plate where a container is needed. hyperrealistic 3D render, single subject centred and isolated, plain warm off-white background (#FBFBF6), soft studio key light from upper-left with a gentle fill, subtle contact shadow beneath, photoreal materials and micro-detail, no text, no labels, no watermark, square 1:1, 1024x1024"
1,LOW-RES,aliments,la-baguette.jpg,la baguette,,/devine/la-baguette.jpg,160x160 source shown at 132 CSS px — upscaled 1.6x-2.5x on any modern phone,la-baguette.jpg,"la baguette — the food itself, fresh, appetising, in a plain white bowl or on a plain plate where a container is needed. hyperrealistic 3D render, single subject centred and isolated, plain warm off-white background (#FBFBF6), soft studio key light from upper-left with a gentle fill, subtle contact shadow beneath, photoreal materials and micro-detail, no text, no labels, no watermark, square 1:1, 1024x1024"
1,LOW-RES,aliments,la-banane.jpg,les bananes,,/devine/la-banane.jpg,160x160 source shown at 132 CSS px — upscaled 1.6x-2.5x on any modern phone,la-banane.jpg,"les bananes — the food itself, fresh, appetising, in a plain white bowl or on a plain plate where a container is needed. hyperrealistic 3D render, single subject centred and isolated, plain warm off-white background (#FBFBF6), soft studio key light from upper-left with a gentle fill, subtle contact shadow beneath, photoreal materials and micro-detail, no text, no labels, no watermark, square 1:1, 1024x1024"
1,LOW-RES,aliments,la-carotte.jpg,la carotte,,/devine/la-carotte.jpg,160x160 source shown at 132 CSS px — upscaled 1.6x-2.5x on any modern phone,la-carotte.jpg,"la carotte — the food itself, fresh, appetising, in a plain white bowl or on a plain plate where a container is needed. hyperrealistic 3D render, single subject centred and isolated, plain warm off-white background (#FBFBF6), soft studio key light from upper-left with a gentle fill, subtle contact shadow beneath, photoreal materials and micro-detail, no text, no labels, no watermark, square 1:1, 1024x1024"
1,LOW-RES,aliments,la-confiture.jpg,la confiture,,/devine/la-confiture.jpg,160x160 source shown at 132 CSS px — upscaled 1.6x-2.5x on any modern phone,la-confiture.jpg,"la confiture — the food itself, fresh, appetising, in a plain white bowl or on a plain plate where a container is needed. hyperrealistic 3D render, single subject centred and isolated, plain warm off-white background (#FBFBF6), soft studio key light from upper-left with a gentle fill, subtle contact shadow beneath, photoreal materials and micro-detail, no text, no labels, no watermark, square 1:1, 1024x1024"
1,LOW-RES,aliments,la-fraise.jpg,la fraise,,/devine/la-fraise.jpg,160x160 source shown at 132 CSS px — upscaled 1.6x-2.5x on any modern phone,la-fraise.jpg,"la fraise — the food itself, fresh, appetising, in a plain white bowl or on a plain plate where a container is needed. hyperrealistic 3D render, single subject centred and isolated, plain warm off-white background (#FBFBF6), soft studio key light from upper-left with a gentle fill, subtle contact shadow beneath, photoreal materials and micro-detail, no text, no labels, no watermark, square 1:1, 1024x1024"
1,LOW-RES,aliments,la-pasteque.jpg,la pastèque,,/devine/la-pasteque.jpg,160x160 source shown at 132 CSS px — upscaled 1.6x-2.5x on any modern phone,la-pasteque.jpg,"la pastèque — the food itself, fresh, appetising, in a plain white bowl or on a plain plate where a container is needed. hyperrealistic 3D render, single subject centred and isolated, plain warm off-white background (#FBFBF6), soft studio key light from upper-left with a gentle fill, subtle contact shadow beneath, photoreal materials and micro-detail, no text, no labels, no watermark, square 1:1, 1024x1024"
1,LOW-RES,aliments,la-peche.jpg,la pêche,,/devine/la-peche.jpg,160x160 source shown at 132 CSS px — upscaled 1.6x-2.5x on any modern phone,la-peche.jpg,"la pêche — the food itself, fresh, appetising, in a plain white bowl or on a plain plate where a container is needed. hyperrealistic 3D render, single subject centred and isolated, plain warm off-white background (#FBFBF6), soft studio key light from upper-left with a gentle fill, subtle contact shadow beneath, photoreal materials and micro-detail, no text, no labels, no watermark, square 1:1, 1024x1024"
1,LOW-RES,aliments,la-pizza.jpg,la pizza,,/devine/la-pizza.jpg,160x160 source shown at 132 CSS px — upscaled 1.6x-2.5x on any modern phone,la-pizza.jpg,"la pizza — the food itself, fresh, appetising, in a plain white bowl or on a plain plate where a container is needed. hyperrealistic 3D render, single subject centred and isolated, plain warm off-white background (#FBFBF6), soft studio key light from upper-left with a gentle fill, subtle contact shadow beneath, photoreal materials and micro-detail, no text, no labels, no watermark, square 1:1, 1024x1024"
1,LOW-RES,aliments,la-poire.jpg,les poires,,/devine/la-poire.jpg,160x160 source shown at 132 CSS px — upscaled 1.6x-2.5x on any modern phone,la-poire.jpg,"les poires — the food itself, fresh, appetising, in a plain white bowl or on a plain plate where a container is needed. hyperrealistic 3D render, single subject centred and isolated, plain warm off-white background (#FBFBF6), soft studio key light from upper-left with a gentle fill, subtle contact shadow beneath, photoreal materials and micro-detail, no text, no labels, no watermark, square 1:1, 1024x1024"
1,LOW-RES,aliments,la-pomme.jpg,les pommes,,/devine/la-pomme.jpg,160x160 source shown at 132 CSS px — upscaled 1.6x-2.5x on any modern phone,la-pomme.jpg,"les pommes — the food itself, fresh, appetising, in a plain white bowl or on a plain plate where a container is needed. hyperrealistic 3D render, single subject centred and isolated, plain warm off-white background (#FBFBF6), soft studio key light from upper-left with a gentle fill, subtle contact shadow beneath, photoreal materials and micro-detail, no text, no labels, no watermark, square 1:1, 1024x1024"
1,LOW-RES,aliments,la-salade.jpg,la salade,,/devine/la-salade.jpg,160x160 source shown at 132 CSS px — upscaled 1.6x-2.5x on any modern phone,la-salade.jpg,"la salade — the food itself, fresh, appetising, in a plain white bowl or on a plain plate where a container is needed. hyperrealistic 3D render, single subject centred and isolated, plain warm off-white background (#FBFBF6), soft studio key light from upper-left with a gentle fill, subtle contact shadow beneath, photoreal materials and micro-detail, no text, no labels, no watermark, square 1:1, 1024x1024"
1,LOW-RES,aliments,la-tomate.jpg,les tomates,,/devine/la-tomate.jpg,160x160 source shown at 132 CSS px — upscaled 1.6x-2.5x on any modern phone,la-tomate.jpg,"les tomates — the food itself, fresh, appetising, in a plain white bowl or on a plain plate where a container is needed. hyperrealistic 3D render, single subject centred and isolated, plain warm off-white background (#FBFBF6), soft studio key light from upper-left with a gentle fill, subtle contact shadow beneath, photoreal materials and micro-detail, no text, no labels, no watermark, square 1:1, 1024x1024"
1,LOW-RES,aliments,la-vanille.jpg,la vanille,,/devine/la-vanille.jpg,160x160 source shown at 132 CSS px — upscaled 1.6x-2.5x on any modern phone,la-vanille.jpg,"la vanille — the food itself, fresh, appetising, in a plain white bowl or on a plain plate where a container is needed. hyperrealistic 3D render, single subject centred and isolated, plain warm off-white background (#FBFBF6), soft studio key light from upper-left with a gentle fill, subtle contact shadow beneath, photoreal materials and micro-detail, no text, no labels, no watermark, square 1:1, 1024x1024"
1,LOW-RES,aliments,la-viande.jpg,la viande,,/devine/la-viande.jpg,160x160 source shown at 132 CSS px — upscaled 1.6x-2.5x on any modern phone,la-viande.jpg,"la viande — the food itself, fresh, appetising, in a plain white bowl or on a plain plate where a container is needed. hyperrealistic 3D render, single subject centred and isolated, plain warm off-white background (#FBFBF6), soft studio key light from upper-left with a gentle fill, subtle contact shadow beneath, photoreal materials and micro-detail, no text, no labels, no watermark, square 1:1, 1024x1024"
1,LOW-RES,aliments,le-beurre.jpg,le beurre,,/devine/le-beurre.jpg,160x160 source shown at 132 CSS px — upscaled 1.6x-2.5x on any modern phone,le-beurre.jpg,"le beurre — the food itself, fresh, appetising, in a plain white bowl or on a plain plate where a container is needed. hyperrealistic 3D render, single subject centred and isolated, plain warm off-white background (#FBFBF6), soft studio key light from upper-left with a gentle fill, subtle contact shadow beneath, photoreal materials and micro-detail, no text, no labels, no watermark, square 1:1, 1024x1024"
1,LOW-RES,aliments,le-brocoli.jpg,le brocoli,,/devine/le-brocoli.jpg,160x160 source shown at 132 CSS px — upscaled 1.6x-2.5x on any modern phone,le-brocoli.jpg,"le brocoli — the food itself, fresh, appetising, in a plain white bowl or on a plain plate where a container is needed. hyperrealistic 3D render, single subject centred and isolated, plain warm off-white background (#FBFBF6), soft studio key light from upper-left with a gentle fill, subtle contact shadow beneath, photoreal materials and micro-detail, no text, no labels, no watermark, square 1:1, 1024x1024"
1,LOW-RES,aliments,le-cafe.jpg,le café,,/devine/le-cafe.jpg,160x160 source shown at 132 CSS px — upscaled 1.6x-2.5x on any modern phone,le-cafe.jpg,"le café — the food itself, fresh, appetising, in a plain white bowl or on a plain plate where a container is needed. hyperrealistic 3D render, single subject centred and isolated, plain warm off-white background (#FBFBF6), soft studio key light from upper-left with a gentle fill, subtle contact shadow beneath, photoreal materials and micro-detail, no text, no labels, no watermark, square 1:1, 1024x1024"
1,LOW-RES,aliments,le-champignon.jpg,le champignon,,/devine/le-champignon.jpg,160x160 source shown at 132 CSS px — upscaled 1.6x-2.5x on any modern phone,le-champignon.jpg,"le champignon — the food itself, fresh, appetising, in a plain white bowl or on a plain plate where a container is needed. hyperrealistic 3D render, single subject centred and isolated, plain warm off-white background (#FBFBF6), soft studio key light from upper-left with a gentle fill, subtle contact shadow beneath, photoreal materials and micro-detail, no text, no labels, no watermark, square 1:1, 1024x1024"
1,LOW-RES,aliments,le-chocolat.jpg,le chocolat,,/devine/le-chocolat.jpg,160x160 source shown at 132 CSS px — upscaled 1.6x-2.5x on any modern phone,le-chocolat.jpg,"le chocolat — the food itself, fresh, appetising, in a plain white bowl or on a plain plate where a container is needed. hyperrealistic 3D render, single subject centred and isolated, plain warm off-white background (#FBFBF6), soft studio key light from upper-left with a gentle fill, subtle contact shadow beneath, photoreal materials and micro-detail, no text, no labels, no watermark, square 1:1, 1024x1024"
1,LOW-RES,aliments,le-chou-fleur.jpg,le chou-fleur,,/devine/le-chou-fleur.jpg,160x160 source shown at 132 CSS px — upscaled 1.6x-2.5x on any modern phone,le-chou-fleur.jpg,"le chou-fleur — the food itself, fresh, appetising, in a plain white bowl or on a plain plate where a container is needed. hyperrealistic 3D render, single subject centred and isolated, plain warm off-white background (#FBFBF6), soft studio key light from upper-left with a gentle fill, subtle contact shadow beneath, photoreal materials and micro-detail, no text, no labels, no watermark, square 1:1, 1024x1024"
1,LOW-RES,aliments,le-citron.jpg,le citron,,/devine/le-citron.jpg,160x160 source shown at 132 CSS px — upscaled 1.6x-2.5x on any modern phone,le-citron.jpg,"le citron — the food itself, fresh, appetising, in a plain white bowl or on a plain plate where a container is needed. hyperrealistic 3D render, single subject centred and isolated, plain warm off-white background (#FBFBF6), soft studio key light from upper-left with a gentle fill, subtle contact shadow beneath, photoreal materials and micro-detail, no text, no labels, no watermark, square 1:1, 1024x1024"
1,LOW-RES,aliments,le-concombre.jpg,les concombres,,/devine/le-concombre.jpg,160x160 source shown at 132 CSS px — upscaled 1.6x-2.5x on any modern phone,le-concombre.jpg,"les concombres — the food itself, fresh, appetising, in a plain white bowl or on a plain plate where a container is needed. hyperrealistic 3D render, single subject centred and isolated, plain warm off-white background (#FBFBF6), soft studio key light from upper-left with a gentle fill, subtle contact shadow beneath, photoreal materials and micro-detail, no text, no labels, no watermark, square 1:1, 1024x1024"
